merged_at,branch,model,input,output,cache_read,cache_write,cost_usd
2026-09-12T17:41:29Z,claude/issue-49-part-3-costs-k9g0fj,claude-opus-5,184,88794,12645110,244682,10.7044
2026-09-12T17:41:29Z,claude/issue-49-part-3-costs-k9g0fj,claude-sonnet-5,32,237,358156,37972,0.1690
2026-09-13T05:57:21Z,claude/issue-49-part-4-o41efo,claude-opus-5,124,46394,6712720,504881,9.2125
2026-09-13T05:57:21Z,claude/issue-49-part-4-o41efo,claude-sonnet-5,164,7178,6720348,263478,2.0749
2026-09-13T05:57:21Z,claude/issue-49-part-4-o41efo,claude-haiku-4-5-20251001,258,68,604129,27673,0.0956
2026-09-13T05:57:21Z,claude/issue-49-part-4-o41efo,<synthetic>,0,0,0,0,0.0000
2026-09-13T08:43:14Z,claude/session-costs-csv-commits-deaual,claude-opus-5,60,32708,2761396,85801,3.0567
2026-09-13T10:15:22Z,claude/offene-code-issues-dxkmwn,claude-opus-5,354,97005,32465815,423460,22.8944
2026-09-13T10:44:38Z,claude/xss-vulnerabilities-test-fixtures-0n8t11,claude-opus-5,46,15232,1967258,68643,2.0511
2026-09-13T10:44:38Z,claude/xss-vulnerabilities-test-fixtures-0n8t11,<synthetic>,0,0,0,0,0.0000
2026-09-13T11:13:18Z,feature/issue-49-part-2,claude-opus-5,46,14097,2078309,74359,2.1354
2026-09-13T11:13:18Z,feature/issue-49-part-2,claude-sonnet-5,46,262,593111,34487,0.2076
2026-09-13T11:13:18Z,fix/issue-49-stdin-schalter,claude-opus-5,128,53887,6513729,262726,7.0470
2026-09-13T11:13:18Z,fix/issue-49-stdin-schalter,claude-sonnet-5,92,5950,1075741,87392,0.4933
2026-09-13T11:13:18Z,fix/issue-49-stdin-schalter,<synthetic>,0,0,0,0,0.0000
2026-09-13T12:25:31Z,claude/archify-skill-json-generation-rhd3t6,claude-opus-5,286,157765,35835949,347707,25.3406
2026-09-13T12:25:31Z,claude/archify-skill-json-generation-rhd3t6,claude-sonnet-5,136,2135,7976804,720121,3.4173
2026-09-13T12:25:31Z,claude/archify-skill-json-generation-rhd3t6,claude-haiku-4-5-20251001,42,11,154210,41040,0.0668
2026-09-13T12:25:31Z,claude/archify-skill-json-generation-rhd3t6,<synthetic>,0,0,0,0,0.0000
2026-09-13T21:35:31Z,claude/issue-32-part-4-sync,claude-opus-5,344,86150,20019431,609031,17.1976
2026-09-13T21:35:31Z,claude/issue-32-part-4-sync,claude-sonnet-5,1236,29176,42722427,1329241,12.1618
2026-09-13T21:35:31Z,claude/issue-32-part-4-sync,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
2026-09-13T21:43:45Z,claude/issue-32-part-5-highlight,claude-opus-5,418,107543,26576002,965551,24.3370
2026-09-13T21:43:45Z,claude/issue-32-part-5-highlight,claude-sonnet-5,1612,41558,65484132,1713384,17.7991
2026-09-13T21:43:45Z,claude/issue-32-part-5-highlight,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
2026-09-14T03:01:33Z,claude/issue-32-part-1-mapping,claude-opus-5,92,37402,4316482,290110,5.7985
2026-09-14T03:01:33Z,claude/issue-32-part-1-mapping,claude-sonnet-5,206,5111,6446769,372491,2.2721
2026-09-14T03:01:33Z,claude/issue-32-part-2-options,claude-opus-5,176,57785,10307453,396544,10.1113
2026-09-14T03:01:33Z,claude/issue-32-part-2-options,claude-sonnet-5,442,12447,14584281,599352,4.5406
2026-09-14T03:01:33Z,claude/issue-32-part-2-options,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
2026-09-14T03:01:33Z,claude/issue-32-part-3-anreichern,claude-opus-5,258,70333,14671322,499210,13.3343
2026-09-14T03:01:33Z,claude/issue-32-part-3-anreichern,claude-sonnet-5,788,19498,26475858,858517,7.6380
2026-09-14T03:01:33Z,claude/issue-32-part-3-anreichern,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
2026-09-14T07:17:34Z,claude/issue-32-json-ergaenzen-zy42m9,claude-opus-5,124,62421,10265644,183569,8.5297
