branch,pr,merged_at,total_usd,sessions,reason
claude/issue-49-part-3-costs-k9g0fj,141,2026-09-12T17:41:29Z,10.8734,1,merged
claude/issue-49-part-4-o41efo,149,2026-09-13T05:57:21Z,11.3830,1,merged
claude/session-costs-csv-commits-deaual,201,2026-09-13T08:43:14Z,3.0567,1,merged
claude/offene-code-issues-dxkmwn,203,2026-09-13T10:15:22Z,22.8944,1,merged
claude/xss-vulnerabilities-test-fixtures-0n8t11,204,2026-09-13T10:44:38Z,2.0511,1,merged
feature/issue-49-part-2,,2026-09-13T11:13:18Z,2.3430,1,abandoned
fix/issue-49-stdin-schalter,,2026-09-13T11:13:18Z,7.5403,1,abandoned
claude/archify-skill-json-generation-rhd3t6,205,2026-09-13T12:25:31Z,28.8247,1,merged
claude/issue-32-part-4-sync,226,2026-09-13T21:35:31Z,29.4176,1,merged
claude/issue-32-part-5-highlight,228,2026-09-13T21:43:45Z,42.1943,1,merged
claude/issue-32-part-1-mapping,,2026-09-14T03:01:33Z,8.0706,1,abandoned
claude/issue-32-part-2-options,,2026-09-14T03:01:33Z,14.7101,1,abandoned
claude/issue-32-part-3-anreichern,,2026-09-14T03:01:33Z,21.0305,1,abandoned
claude/issue-32-json-ergaenzen-zy42m9,229,2026-09-14T07:17:34Z,8.5297,1,merged
claude/release-1-3-0-prep-ak1fsp,231,2026-09-14T13:15:14Z,7.0859,1,merged
