branch,session_id,model,input,output,cache_read,cache_write,cost_usd
claude/issue-32-part-1-mapping,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-opus-5,92,37402,4316482,290110,5.7985
claude/issue-32-part-1-mapping,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-sonnet-5,206,5111,6446769,372491,2.2721
claude/issue-32-part-2-options,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
claude/issue-32-part-2-options,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-opus-5,176,57785,10307453,396544,10.1113
claude/issue-32-part-2-options,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-sonnet-5,442,12447,14584281,599352,4.5406
claude/issue-32-part-3-anreichern,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
claude/issue-32-part-3-anreichern,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-opus-5,258,70333,14671322,499210,13.3343
claude/issue-32-part-3-anreichern,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-sonnet-5,788,19498,26475858,858517,7.6380
claude/issue-32-part-4-sync,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-haiku-4-5-20251001,58,19,130036,36015,0.0582
claude/issue-32-part-4-sync,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-opus-5,332,81876,18492297,602416,16.2610
claude/issue-32-part-4-sync,dcf7ceb0-5b15-56b6-b669-a1be63f76d16,claude-sonnet-5,1024,24229,37099094,1091244,10.3923
claude/offene-code-issues-dxkmwn,bbc9afc0-64f0-5d2b-8f7e-efaba869aada,claude-opus-5,266,67219,20257618,318483,14.9954
feature/issue-49-part-2,88612e92-6ed4-5c3b-8b68-50d671d7eed1,claude-opus-5,46,14097,2078309,74359,2.1354
feature/issue-49-part-2,88612e92-6ed4-5c3b-8b68-50d671d7eed1,claude-sonnet-5,46,262,593111,34487,0.2076
fix/issue-49-stdin-schalter,88612e92-6ed4-5c3b-8b68-50d671d7eed1,<synthetic>,0,0,0,0,0.0000
fix/issue-49-stdin-schalter,88612e92-6ed4-5c3b-8b68-50d671d7eed1,claude-opus-5,128,53887,6513729,262726,7.0470
fix/issue-49-stdin-schalter,88612e92-6ed4-5c3b-8b68-50d671d7eed1,claude-sonnet-5,92,5950,1075741,87392,0.4933
